"","par_name","par.est","par.se","tstat","category","format","brand"
"24","compprice","0.720665371377497","0.466764468441125",1.54395936302593,"Bottled water","convenience","ICA"
"25","campaign","0.496592952161835","0.11162846431342",4.44862298533058,"Bottled water","convenience","ICA"
"26","ethat","-1.00694159321925","0.0783789304358599",-12.847095356108,"Bottled water","convenience","ICA"
"27","holiday","0.177472914052961","0.0989569363859242",1.79343581697831,"Bottled water","convenience","ICA"
"28","cop_price","0.0790685281970667","0.0486058622714022",1.62672822787443,"Bottled water","convenience","ICA"
"29","cop_compprice","-0.0664056352127946","0.0684951998788241",-0.969493268583402,"Bottled water","convenience","ICA"
"30","constant","-0.401719979234874","0.176324052386023",-2.27830505140272,"Bottled water","hypermarket","Loka"
"31","price_elas","-0.585049443418249","0.140862695814117",-4.15333129922689,"Bottled water","hypermarket","Loka"
"32","compprice","0.540924217856716","0.220453915552929",2.4536838753805,"Bottled water","hypermarket","Loka"
"33","campaign","0.382137078328418","0.163428706404776",2.33824942224012,"Bottled water","hypermarket","Loka"
"34","ethat","-0.593982714722064","0.0798238712422819",-7.44116647661956,"Bottled water","hypermarket","Loka"
"35","holiday","-0.0124129301540383","0.0563460013613444",-0.220298332696844,"Bottled water","hypermarket","Loka"
"36","cop_price","-0.0400205210180482","0.0380208473186905",-1.05259413822623,"Bottled water","hypermarket","Loka"
"37","cop_compprice","-0.0681058470222554","0.051487452518103",-1.32276591074902,"Bottled water","hypermarket","Loka"
"38","constant","-0.0859875792902057","0.112611700230384",-0.763575890553913,"Bottled water","supermarket","Loka"
"39","price_elas","-0.195084264731254","0.185949311361149",-1.04912604033453,"Bottled water","supermarket","Loka"
"40","hgap_gain_slope","0.448318014695309","0.218038100415939",2.05614529680858,"Bottled water","supermarket","Loka"
"41","hgap_gain_threshold","-0.230935755866631","0.0277617912059825",-8.31847463130786,"Bottled water","supermarket","Loka"
"42","hgap_loss_slope","-1.54731732446826","0.305993410929432",-5.05670144912075,"Bottled water","supermarket","Loka"
"43","hgap_loss_threshold","0.526578737051329","0.0162150340493946",32.4747228681268,"Bottled water","supermarket","Loka"
"44","cgap_gain_slope","-0.183193604927611","0.208502275317795",-0.878616814365172,"Bottled water","supermarket","Loka"
"45","cgap_gain_threshold","0.601768636855173","0.0350506215626025",17.168558217445,"Bottled water","supermarket","Loka"
"46","cgap_loss_slope","0.812782148601859","3.42003179115129",0.237653389861692,"Bottled water","supermarket","Loka"
"47","cgap_loss_threshold","1.98650252379657","1.38394317006547",1.43539313373872,"Bottled water","supermarket","Loka"
"48","campaign","0.138793138007429","0.103783080676837",1.33733877528272,"Bottled water","supermarket","Loka"
"49","ethat","-0.451176497184053","0.0644191183225042",-7.00376703272014,"Bottled water","supermarket","Loka"
"50","holiday","0.0790965203924124","0.0457398538039012",1.72926919993055,"Bottled water","supermarket","Loka"
"51","cop_price","-0.0410584747159741","0.0379036693215293",-1.08323218967755,"Bottled water","supermarket","Loka"
"52","cop_compprice","-0.00253570541749797","0.0305823769912687",-0.0829139415233131,"Bottled water","supermarket","Loka"
"53","model_SE","0.0489595218753067","0.00560984811153794",8.7274237914945,"Bottled water","supermarket","Loka"
"54","constant","-0.15627689495026","0.0838229818800554",-1.8643681177303,"Bottled water","convenience","Loka"
"55","price_elas","-0.8822367917621","0.297544089560315",-2.96506239820053,"Bottled water","convenience","Loka"
