"","brand","p-value-LRhist","p-value-LRcomp","Coef Price","Sd Price","RsqLinear","RsqHist","RsqComp","format","category","modeldecision"
"62","Yoggi",0.0015,0.5474,-3.24500420726792,0.137749919581336,0.8884,0.8975,0.8899,"hypermarket","Yogurt","histgap"
"63","Danonino",0,0.9844,-1.7951023353904,0.38134356254871,0.4644,0.57,0.465,"hypermarket","Yogurt","histgap"
"64","Skånemejerier",0.0322,0.5222,-2.98965160806127,0.576875366711188,0.3894,0.4164,0.3984,"hypermarket","Yogurt","histgap"
"65","Yoplait",0.1501,0.1674,-1.49105087308262,0.334521766398885,0.3889,0.404,0.4089,"hypermarket","Yogurt","linearity"
"66","Gefleortens",0.384,0.591,-0.276859997236136,0.393950676460388,0.5849,0.5901,0.5901,"hypermarket","Yogurt","linearity"
"67","Fjällfil",0.5842,0.3426,-1.287828437788,0.34179929617546,0.4992,0.5028,0.5101,"hypermarket","Yogurt","linearity"
"68","Tiger",0.2949,0.8458,-1.03150127499964,0.358590757297967,0.3717,0.3817,0.375,"hypermarket","Yogurt","linearity"
"69","Activia",0.1466,0.1383,-1.90184026420246,0.324112509542664,0.4542,0.4679,0.4737,"supermarket","Yogurt","linearity"
"70","Yoggi",0.0021,0.9911,-3.7894901927426,0.285018506762749,0.7012,0.7245,0.7014,"supermarket","Yogurt","histgap"
"71","ICA",0.2712,0.3647,-2.39091785179276,0.378740742111732,0.4578,0.467,0.469,"supermarket","Yogurt","linearity"
"72","Yoplait",0.0039,0.881,0.688011923539997,0.405349315960641,0.4327,0.4727,0.4352,"supermarket","Yogurt","histgap"
"73","Fjällfil",0.032,0.6158,-1.45709622802621,0.503880144805271,0.5099,0.5316,0.5157,"supermarket","Yogurt","histgap"
"74","Arla Ko",0.6421,0.8688,-1.9210189505502,0.349868619503184,0.3972,0.4007,0.4001,"supermarket","Yogurt","linearity"
"75","Valio",0.0244,0.0557,-4.00948481879027,0.335161125424549,0.7422,0.7545,0.7547,"supermarket","Yogurt","fullmodel"
"76","Falköpings Mejeri",0.0015,0.1435,-1.29658652652137,0.632057445142746,0.3712,0.4227,0.3932,"supermarket","Yogurt","histgap"
"77","Verum",0.5778,0.4737,-2.17410918078711,0.45192295590119,0.4108,0.415,0.4204,"supermarket","Yogurt","linearity"
"78","Arla Ko",0.7329,0.1008,-2.77787267414587,0.411218009666804,0.4786,0.4807,0.4995,"convenience","Yogurt","linearity"
"79","ICA",0.7708,0.946,-3.00419496426618,0.411605235031838,0.5329,0.5345,0.534,"convenience","Yogurt","linearity"
"80","Yoggi",0.0894,0.3624,-1.54578153025323,0.726530963901058,0.4174,0.4356,0.4295,"convenience","Yogurt","histgap"
"81","Valio",0.6572,0.361,-1.76133591983345,0.439221244059753,0.4305,0.4337,0.4424,"convenience","Yogurt","linearity"
"82","Verum",0.8097,0.1402,-1.8867068032713,0.77295926850863,0.4718,0.4732,0.4905,"convenience","Yogurt","linearity"
