"","vecka","brand","format","totalvolume","totalvalue","LL","avgpricebefore","avgfinalprice","avgdiscount","totalnonpricecampaign","totalpricecampaign","nonpricecampaign","pricecampaign","depth","nondepth","avgcompLL","avgcomppricebefore","avgcompfinalprice","avgcompdiscount","totalvolume1","totalvalue1","LL1","avgfinalprice1","avgpricebefore1","avgdiscount1","nondepth1","avgcompLL1","avgcompfinalprice1","avgcomppricebefore1","avgcompdiscount1","dlogtotalvolume","dlogavgfinalprice","dlogavgpricebefore","dlognondepth","dlogLL","dlogavgcompLL","dlogavgcompfinalprice","cop_finalprice","cop_avgcompfinalprice","cop_logfinalprice","cop_logavgcompfinalprice","hgap","cgap","holiday","trend","campaign"
"260",201536,"Ramlösa",3,48,577.9,16,12.4625,12.0395833333333,0.422916666666667,0,80,0,1,0.0339351387495821,0.966064861250418,22.6375528475504,18.4701436147096,17.8066484793219,0.663495135387699,36,464.17,14,12.8936111111111,12.9555555555556,0.0619444444444444,0.995218696397942,22.9468648903484,11.1878747413509,11.5028842271836,0.315009485832658,0.287682072451781,-0.068532093564138,-0.0388005612922155,-0.0291538351475238,0.133531392624523,-0.0135711633697042,0.464741318161199,-0.204811632505135,0.843188897030097,-0.204811632505135,0.843188897030097,-0.068532093564138,-0.323871454680853,0,88,1
"264",201537,"Ramlösa",3,71,681.23,17,10.9985915492958,9.59478873239437,1.40380281690141,0,238,0,1,0.127634780381611,0.872365219618389,22.6143116297313,18.7341989990591,18.508413495076,0.225785503983159,48,577.9,16,12.0395833333333,12.4625,0.422916666666667,0.966064861250418,22.6375528475504,17.8066484793219,18.4701436147096,0.663495135387699,0.391478866133424,-0.226979721708817,-0.124956911660643,-0.0936996416320288,0.060624621816435,-0.00102719391260653,0.0386535145844364,-1.012281435109,1.0402029655509,-1.012281435109,1.0402029655509,-0.226979721708817,-0.481598531665235,0,89,1
"266",201538,"Ramlösa",3,21,249.5,13,12.0904761904762,11.8809523809524,0.20952380952381,0,39,0,1,0.0173296573454116,0.982670342654588,24.4546817415204,17.2532927180957,16.9939011161428,0.259391601952833,71,681.23,17,9.59478873239437,10.9985915492958,1.40380281690141,0.872365219618389,22.6143116297313,18.508413495076,18.7341989990591,0.225785503983159,-1.21815743931789,0.213716366761126,0.0946508273598954,0.110305123036199,-0.268263986594679,0.078238716053519,-0.0853708904059554,-0.249942806252822,0.620258337710914,-0.249942806252822,0.620258337710914,0.213716366761126,-0.300869629653992,0,90,1
"268",201539,"Ramlösa",3,23,253.3,15,11.0304347826087,11.0130434782609,0.0173913043478261,0,15,0,1,0.00157666535277887,0.998423334647221,28.0243223937282,15.3435851488796,14.1706616461869,1.17292350269271,21,249.5,13,11.8809523809524,12.0904761904762,0.20952380952381,0.982670342654588,24.4546817415204,16.9939011161428,17.2532927180957,0.259391601952833,0.0909717782057267,-0.0758561363896701,-0.0917598003111224,0.0157529919926327,0.143100843640673,0.136251110168726,-0.18168077575075,-0.58075808400855,-0.176820835190442,-0.58075808400855,-0.176820835190442,-0.0758561363896701,-0.222827857072976,0,91,1
"271",201540,"Ramlösa",3,48,638.32,20,13.4,13.2983333333333,0.101666666666667,0,100,0,1,0.00758706467661692,0.992412935323383,20.4005783063715,15.7870647982234,15.4975461599155,0.289518638307916,23,253.3,15,11.0130434782609,11.0304347826087,0.0173913043478261,0.998423334647221,28.0243223937282,14.1706616461869,15.3435851488796,1.17292350269271,0.735706794978741,0.188558373013655,0.194596456280779,-0.00601039932383807,0.287682072451781,-0.317509541230083,0.0895079530664638,0.176820835190442,0.204811632505135,0.176820835190442,0.204811632505135,0.188558373013655,-0.141907164133536,0,92,1
"274",201541,"Ramlösa",3,22,274.5,12,12.5363636363636,12.4772727272727,0.0590909090909091,0,24,0,1,0.004713560551124,0.995286439448876,19.1910941539697,19.4014268429005,19.3021305109855,0.0992963319150626,48,638.32,20,13.2983333333333,13.4,0.101666666666667,0.992412935323383,20.4005783063715,15.4975461599155,15.7870647982234,0.289518638307916,-0.780158557549575,-0.0637299065008654,-0.0666211949559803,0.00287350412549292,-0.51082562376599,-0.0611169235234832,0.219533779859658,-0.0991078598228991,1.32790187175583,-0.0991078598228991,1.32790187175583,-0.0637299065008654,-0.353580542822902,0,93,1
"277",201542,"Ramlösa",3,71,740.34,21,11.9281690140845,10.427323943662,1.50084507042253,21,294,1,1,0.125823591923486,0.874176408076514,24.4406025613765,16.7230797482339,16.4262959565065,0.296783791727445,22,274.5,12,12.4772727272727,12.5363636363636,0.0590909090909091,0.995286439448876,19.1910941539697,19.3021305109855,19.4014268429005,0.0992963319150626,1.171637423683,-0.179479144494088,-0.0497307651146475,-0.121110031372362,0.559615787935423,0.241799463443856,-0.161332016268937,-0.767166620585757,0.412702543078983,-0.767166620585757,0.412702543078983,-0.179479144494088,-0.365205401675981,0,94,1
"282",201543,"Ramlösa",3,24,263.6,12,11.025,10.9833333333333,0.0416666666666667,0,24,0,1,0.00377928949357521,0.996220710506425,23.6663166857662,20.2629243099233,19.8344683393803,0.428455970543071,71,740.34,21,10.427323943662,11.9281690140845,1.50084507042253,0.874176408076514,24.4406025613765,16.4262959565065,16.7230797482339,0.296783791727445,-1.08462604669337,0.0519493091832244,-0.0787373255533281,0.12204430242991,-0.559615787935423,-0.0321929883817869,0.188537786722006,-0.59382139299352,1.42724679017413,-0.59382139299352,1.42724679017413,0.0519493091832244,-0.446250176944419,0,95,1
"284",201544,"Ramlösa",3,27,315.11,13,11.862962962963,11.6707407407407,0.192222222222222,0,65,0,1,0.0162035591632844,0.983796440836716,28.6577879995809,17.6854047163085,17.3627990577402,0.322605658568312,24,263.6,12,10.9833333333333,11.025,0.0416666666666667,0.996220710506425,23.6663166857662,19.8344683393803,20.2629243099233,0.428455970543071,0.117783035656383,0.0607059459317578,0.0732557692778739,-0.0124242696697092,0.0800427076735364,0.191372438328616,-0.133091317161694,-0.35353924775488,0.709409852507664,-0.35353924775488,0.709409852507664,0.0607059459317578,-0.32783068548282,1,96,1
"286",201545,"Ramlösa",3,36,411.9,13,11.4555555555556,11.4416666666667,0.0138888888888889,0,13,0,1,0.00121241513094083,0.998787584869059,25.5609528419306,14.2467152010853,14.0611194196943,0.185595781390969,27,315.11,13,11.6707407407407,11.862962962963,0.192222222222222,0.983796440836716,28.6577879995809,17.3627990577402,17.6854047163085,0.322605658568312,0.287682072451781,-0.019823255226239,-0.0349463769240885,0.0149911440323436,0,-0.114359331216825,-0.210916431734329,-0.442821657596511,-0.216051802497258,-0.442821657596511,-0.216051802497258,-0.019823255226239,-0.18629048476459,0,97,1
