"","vecka","brand","format","totalvolume","totalvalue","LL","avgpricebefore","avgfinalprice","avgdiscount","totalnonpricecampaign","totalpricecampaign","nonpricecampaign","pricecampaign","depth","nondepth","avgcompLL","avgcomppricebefore","avgcompfinalprice","avgcompdiscount","totalvolume1","totalvalue1","LL1","avgfinalprice1","avgpricebefore1","avgdiscount1","nondepth1","avgcompLL1","avgcompfinalprice1","avgcomppricebefore1","avgcompdiscount1","dlogtotalvolume","dlogavgfinalprice","dlogavgpricebefore","dlognondepth","dlogLL","dlogavgcompLL","dlogavgcompfinalprice","cop_finalprice","cop_avgcompfinalprice","cop_logfinalprice","cop_logavgcompfinalprice","hgap","cgap","holiday","trend","campaign"
"294",201547,"Loka",3,87,1640.58,28,19.2333333333333,18.8572413793103,0.376091954022989,0,420,0,1,0.0195541743859439,0.980445825614056,14.5202761381868,13.1724335668453,13.0702238762496,0.102209690595699,81,1255.47,25,15.4996296296296,15.7518518518519,0.252222222222222,0.983987773336468,17.2259099878748,10.9561110523848,12.0199819066204,1.06387085423552,0.0714589639821446,0.196080869400697,0.199686948590685,-0.00354194772241234,0.113328685307003,-0.170868617991762,0.176439268940558,1.15034938037601,-0.473348013943155,1.15034938037601,-0.473348013943155,0.196080869400697,0.442763456682372,0,99,1
"297",201548,"Loka",3,59,1321.86,22,22.6457627118644,22.404406779661,0.24135593220339,0,242,0,1,0.0106578848888556,0.989342115111144,14.093664432065,11.6770782470291,11.5183834117917,0.158694835237466,87,1640.58,28,18.8572413793103,19.2333333333333,0.376091954022989,0.980445825614056,14.5202761381868,13.0702238762496,13.1724335668453,0.102209690595699,-0.388370674748864,0.172360672569003,0.163327872843185,0.00889628949708832,-0.241162056816888,-0.0298206616518284,-0.126392339923028,1.93793151085283,-1.08863292937689,1.93793151085283,-1.08863292937689,0.172360672569003,0.945099931013324,0,100,1
"300",201549,"Loka",3,48,669.35,23,14.1083333333333,13.9447916666667,0.163541666666667,0,184,0,1,0.0115918487891317,0.988408151210868,8.88838403344162,14.7205876838678,14.6424772533936,0.0781104304741763,59,1321.86,22,22.404406779661,22.6457627118644,0.24135593220339,0.989342115111144,14.093664432065,11.5183834117917,11.6770782470291,0.158694835237466,-0.206336432997829,-0.474151589422794,-0.47320711833804,-0.000933963900276114,0.0444517625708336,-0.460980105858572,0.239982388932721,0.301336520859576,-0.043990118295311,0.301336520859576,-0.043990118295311,-0.474151589422794,-0.047648056722454,0,101,1
"303",201550,"Loka",3,59,1015.54,19,17.5101694915254,17.2125423728814,0.297627118644068,0,209,0,1,0.0169973865066305,0.983002613493369,12.9896530212748,11.4839901477833,10.1073977456063,1.37659240217695,48,669.35,23,13.9447916666667,14.1083333333333,0.163541666666667,0.988408151210868,8.88838403344162,14.6424772533936,14.7205876838678,0.0781104304741763,0.206336432997829,0.210532244478278,0.216016186598591,-0.00540553771749874,-0.191055236762709,0.379407859620617,-0.370659099719317,0.843188897030097,-2.29158114433288,0.843188897030097,-2.29158114433288,0.210532244478278,0.702964779471915,0,102,1
"306",201551,"Loka",3,71,1339.18,21,19.6464788732394,18.8616901408451,0.784788732394366,63,294,1,1,0.0399455158075848,0.960054484192415,12.0419615933979,11.682339920391,11.3480881040207,0.334251816370337,59,1015.54,19,17.2125423728814,17.5101694915254,0.297627118644068,0.983002613493369,12.9896530212748,10.1073977456063,11.4839901477833,1.37659240217695,0.185142433135596,0.091494562490956,0.115116304107194,-0.0229481293009542,0.100083458556983,-0.0757557694576456,0.115781674956718,1.16106852098169,-1.24017065278924,1.16106852098169,-1.24017065278924,0.091494562490956,0.662102899444557,0,103,1
"308",201552,"Loka",3,100,1781.27,26,18.25,17.8127,0.4373,0,390,0,1,0.0239616438356164,0.976038356164384,15.7205700388275,13.4486851275049,13.2582640269659,0.190421100539034,71,1339.18,21,18.8616901408451,19.6464788732394,0.784788732394366,0.960054484192415,12.0419615933979,11.3480881040207,11.682339920391,0.334251816370337,0.342490308946776,-0.0572212022572387,-0.0737330500283728,0.0159838719719684,0.213574100298059,0.266572698705688,0.155571777407174,0.976236320290772,-0.418695620883646,0.976236320290772,-0.418695620883646,-0.0572212022572387,0.34351676537523,1,104,1
"310",201553,"Loka",3,89,1701.73,25,19.4842696629214,19.1205617977528,0.363707865168539,0,250,0,1,0.018666743555735,0.981333256444265,15.4085065138687,12.2918496706359,12.055913304113,0.235936366522843,100,1781.27,26,17.8127,18.25,0.4373,0.976038356164384,15.7205700388275,13.2582640269659,13.4486851275049,0.190421100539034,-0.116533816255952,0.070852603883238,0.0654423760438632,0.00529490027988144,-0.0392207131532816,-0.0200503204062406,-0.0950657879609489,1.26424988511952,-0.835371143572111,1.26424988511952,-0.835371143572111,0.070852603883238,0.585990319889709,1,105,1
"315",201601,"Loka",3,90,1548.84,25,17.4555555555556,17.2093333333333,0.246222222222222,0,225,0,1,0.0141056651814131,0.985894334818587,11.6852951449528,14.195239259518,14.0462521830248,0.148987076493189,89,1701.73,25,19.1205617977528,19.4842696629214,0.363707865168539,0.981333256444265,15.4085065138687,12.055913304113,12.2918496706359,0.235936366522843,0.0111733005981254,-0.105312417614417,-0.109949488147008,0.00456107837432185,0,-0.276588501830494,0.152800341457324,0.835371143572111,-0.221682051258171,0.835371143572111,-0.221682051258171,-0.105312417614417,0.225190400193098,1,106,1
"318",201602,"Loka",3,82,1186.55,26,14.8756097560976,14.4701219512195,0.405487804878049,0,312,0,1,0.0272585669781931,0.972741433021807,15.0341724272858,11.4816583947948,11.3931033902934,0.0885550045013949,90,1548.84,25,17.2093333333333,17.4555555555556,0.246222222222222,0.985894334818587,11.6852951449528,14.0462521830248,14.195239259518,0.148987076493189,-0.0930904230660117,-0.173365903831058,-0.159935025327253,-0.0131529017967801,0.0392207131532816,0.251994545726336,-0.209347405085782,0.382953306125502,-1.20534491953753,0.382953306125502,-1.20534491953753,-0.173365903831058,0.27007729637103,0,107,1
"320",201603,"Loka",3,92,1472.77,25,16.4108695652174,16.0083695652174,0.4025,0,375,0,1,0.0245264273413697,0.97547357265863,16.5690289383598,11.7137816498682,10.8371582510782,0.876623398790014,82,1186.55,26,14.4701219512195,14.8756097560976,0.405487804878049,0.972741433021807,15.0341724272858,11.3931033902934,11.4816583947948,0.0885550045013949,0.115069329784787,0.101025714824119,0.0982209510583814,0.00273213963682351,-0.0392207131532816,0.0972094542767872,-0.0500273988875262,0.674489750196082,-1.64061580058192,0.674489750196082,-1.64061580058192,0.101025714824119,0.477174107301121,0,108,1
